platform_Name,movieId,title,genres,director ,starring
Chorki,1,SHUKLOPOKKHO,ROMANTIC THRILLER,Vicky Zahed,"Khairul Basar, Sunerah Binte Kamal, Ziaul Roshan, Faruk ahmed, Sharif Siraj, Abdullah Shentu"
Chorki,2,SHILPI,DRAMA,Agragami,"Uttam Kumar, Suchitra Sen"
Chorki,3,SHAREY CHUATTOR,DRAMA,Nirmal Dey,"Uttam Kumar, Suchitra Sen, Tulsi Chakraborty"
Chorki,4,SAGARIKA,DRAMA,Agragami,"Uttam Kumar, Suchitra Sen, Jamuna Sinha, Namita Sinha"
Chorki,5,DEEP JWELEY JAI,DRAMA,Asit Sen,"Suchitra Sen, Tulsi Chakraborty, Ajit Chatterjee, Anil Chatterjee"
Chorki,6,BIPASHA,DRAMA,Agradoot,"Uttam Kumar, Suchitra Sen"
Chorki,7,AGNI PARIKSHA,DRAMA,Agradoot,"Uttam Kumar, Suchitra Sen"
Chorki,8,VALOBASHI TAI,LOVE STORY,Shihab Shaheen,"Arifin Shuvoo, Tisha"
Chorki,9,GUNIN,DRAMA,Gias Uddin Selim,"Pori Moni, Shariful Razz, Azad Abul Kalam, Dilara Zaman, Iresh Zaker, Mostafa Monwar, Bithy Rani Sarker, Shilpi Sharkar Apu, Nasir Uddin Khan"
Chorki,10,SHUVAA,DRAMA,Chashi Nazrul Islam,"Shakib Khan, Purnima"
Chorki,11,DUBSHATAR,DRAMA,Nurul Alam Atique,"Jaya Ahsan, Shehzad Chowdhury, Ashok Bepari"
Chorki,12,TAAN,ROMANTIC DRAMA,Raihan Rafi,"Siam Ahmed, Shobnom Bubly, Shohel Mondol, Nilanjana Nila, Farjana Chabi"
Chorki,13,REDRUM,THRILLER,Vicky Zahed,"Afran Nisho, Mehazabien Chowdhury, Manoj Kumar Pramanik, Sallha Khanam Nadia, Nasir Uddin Khan, Azizul Hakim, Masum Basar, Shilpi Sharkar Apu, Mukul Shiraj, Hindol Roy, Faizul Yameen, R A Rahul, Rakiba Sultana Shormy, Ehtesham Ahmed Tinku, Salma, and many more."
Chorki,14,ANGAAR,DRAMA,Wazed Ali Sumon,"Om, Falguni Rahman Jolly, Ashish Vidyarthi, Amit Hasan, Rajatava Dutta"
